CHEMBL6228,I\C=C/1\CCC(C(=O)O1)c2cccc3ccccc23
CHEMBL337862,C(Nc1ccccc1c2ccccc2)C3=NCCN3
CHEMBL215421,Cl.COc1cccc(OC)c1OCCNC[C@H]2COc3ccccc3O2
CHEMBL329928,CCOC(=O)c1ccccc1NCC2=NCCN2
CHEMBL13789,C(Oc1ccccc1c2ccccc2)C3=NCCN3
CHEMBL305029,CC(C)Oc1ccccc1N2CCN(Cc3ccc(CN4CCCCC4=O)s3)CC2
CHEMBL512062,C1[C@H](Cn2ccnc12)c3ccccc3c4ccccc4
CHEMBL56331,CC1=CNC(=O)N(CCCN2CCN(CC2)c3ccccc3OCC(F)(F)F)C1=O
CHEMBL544290,Cl.CS(=O)(=O)c1ccccc1NCC2=NCCN2
CHEMBL473424,COCc1cccc2[C@@H](CCc12)c3ncc[nH]3
CHEMBL3342864,COc1ccccc1N2CCN(CC3COC4(CCN(CC4)C(=O)C)O3)CC2
CHEMBL56489,CC1=CC(=O)N(CCCN2CCN(CC2)c3ccc(F)cc3OCC(F)(F)F)C(=O)N1
CHEMBL275386,CCCn1nccc1c2ccccc2NCC3=NCCN3
CHEMBL1796033,COc1ccccc1N2CCN(CCCCN3C(=O)CC(CC3=O)c4ccccc4)CC2
CHEMBL428197,CC(C)Oc1ccccc1N2CCN(CC2)[C@@H]3CC[C@H](CC3)NS(=O)(=O)c4ccc(F)cc4
CHEMBL44124,Cc1ccc(cc1)C(C(=O)NCCCN2CCC(CC2)(C#N)c3ccccc3)c4ccc(C)cc4
CHEMBL83340,COc1ccc2c(c1)C(=O)N(CCCCN3CCC(CC3)N4C(=O)Oc5ccccc45)S2(=O)=O
CHEMBL3916182,COc1ccc2[nH]c3CN4CCc5cc6OCOc6cc5C4Cc3c2c1
CHEMBL80260,COc1ccccc1N2CCN(CCCNC3=C(C(=O)C)C(=NN(C)C3=O)c4ccccc4)CC2
CHEMBL3742198,Clc1ccccc1N2CCN(CCc3ccc(CN4C(=O)c5ccccc5C4=O)cc3)CC2
CHEMBL94167,Fc1ccc(cc1)C2CCN(CCCNC(=O)C3=CNC(=O)N[C@@H]3c4ccc(F)c(F)c4)CC2
CHEMBL406316,C1Cc2c(cccc2c3cn[nH]c3)C1c4ncc[nH]4
CHEMBL70751,CSc1ccc(Cl)cc1NCC2=NCCN2
CHEMBL17764,FC(F)(F)Cn1ncnc1c2ccccc2NCC3=NCCN3
CHEMBL466634,Fc1ccc(c2occn2)c(c1)C3Cc4nccn4C3
CHEMBL505414,Fc1ccc(C2Cc3nccn3C2)c(c1)c4cncnc4
CHEMBL514333,Fc1ccn(Cc2cccc3C(CCc23)c4ncc[nH]4)n1
CHEMBL257800,CS(=O)(=O)Nc1cccc2C(CCc12)c3ncc[nH]3
CHEMBL350906,FC(F)(F)c1cccnc1c2ccccc2NCC3=NCCN3
CHEMBL328658,CC1=C([C@H](NC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)c4ccccc4C#N
