CHEMBL6228,O60733
CHEMBL337862,P35348
CHEMBL215421,P35348
CHEMBL329928,P35348
CHEMBL13789,P35348
CHEMBL305029,P35348
CHEMBL512062,P35348
CHEMBL56331,P35348
CHEMBL544290,P35348
CHEMBL473424,P35348
CHEMBL3342864,P35348
CHEMBL56489,P35348
CHEMBL275386,P35348
CHEMBL1796033,P35348
CHEMBL428197,P35348
CHEMBL44124,P35348
CHEMBL83340,P35348
CHEMBL3916182,P35348
CHEMBL80260,P35348
CHEMBL3742198,P35348
CHEMBL94167,P35348
CHEMBL406316,P35348
CHEMBL70751,P35348
CHEMBL17764,P35348
CHEMBL466634,P35348
CHEMBL505414,P35348
CHEMBL514333,P35348
CHEMBL257800,P35348
CHEMBL350906,P35348
CHEMBL328658,P35348
CHEMBL80109,P35348
CHEMBL78676,P35348
CHEMBL42514,P35348
CHEMBL418531,P35348
CHEMBL2234454,P35348
CHEMBL2234443,P35348
CHEMBL1242724,P35348
CHEMBL511577,P35348
CHEMBL511576,P35348
CHEMBL465599,P35348
CHEMBL406348,P35348
CHEMBL255937,P35348
CHEMBL291303,P35348
CHEMBL42156,P35348
CHEMBL3930616,P35348
CHEMBL2114249,P35348
CHEMBL1796045,P35348
CHEMBL540035,P35348
CHEMBL91125,P35348
CHEMBL303485,P35348
CHEMBL415887,P35348
CHEMBL12529,P35348
CHEMBL3939560,P35348
CHEMBL3938038,P35348
CHEMBL2234457,P35348
CHEMBL2234455,P35348
CHEMBL2234447,P35348
CHEMBL1946780,P35348
CHEMBL501920,P35348
CHEMBL466635,P35348
CHEMBL402003,P35348
CHEMBL360688,P35348
CHEMBL116700,P35348
CHEMBL325745,P35348
CHEMBL431631,P35348
CHEMBL70692,P35348
CHEMBL59590,P35348
CHEMBL301078,P35348
CHEMBL42231,P35348
CHEMBL287791,P35348
CHEMBL289916,P35348
CHEMBL3947830,P35348
CHEMBL3582268,P35348
CHEMBL3343979,P35348
CHEMBL2234450,P35348
CHEMBL1910243,P35348
CHEMBL1796049,P35348
CHEMBL1178700,P35348
CHEMBL466914,P35348
CHEMBL467094,P35348
CHEMBL256041,P35348
CHEMBL243229,P35348
CHEMBL362051,P35348
CHEMBL117581,P35348
CHEMBL118055,P35348
CHEMBL100052,P35348
CHEMBL79990,P35348
CHEMBL286702,P35348
CHEMBL31410,P35348
CHEMBL597,P35348
CHEMBL3946997,P35348
CHEMBL3758368,P35348
CHEMBL3601310,P35348
CHEMBL3343975,P35348
CHEMBL2234444,P35348
CHEMBL1630942,P35348
CHEMBL1290707,P35348
CHEMBL1242923,P35348
CHEMBL1223681,P35348
CHEMBL1209158,P35348
CHEMBL1078954,P35348
CHEMBL543126,P35348
CHEMBL542402,P35348
CHEMBL522460,P35348
CHEMBL493284,P35348
CHEMBL411663,P35348
CHEMBL258178,P35348
CHEMBL257978,P35348
CHEMBL228333,P35348
CHEMBL219719,P35348
CHEMBL363548,P35348
